Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Namibia,516,Africa,Southern Africa,3.23E+07,6.55E+07,1.05E+08,2.66E+07,6.59E+06,3.12E+06,2.39E+07,2.70E+06,7.10E+05,,,,
Nepal,524,Asia,Southern Asia,3.40E+08,5.51E+08,7.18E+08,3.31E+08,4.53E+08,4.46E+08,2.05E+08,1.40E+08,1.37E+08,,,,
Netherlands,528,Europe,Western Europe,3.28E+07,3.84E+07,4.24E+07,3.28E+07,3.84E+07,4.24E+07,8.63E+06,5.06E+06,5.57E+06,,,,
New Zealand,554,Oceania,Australia/New Zealand,3.88E+06,5.04E+06,6.04E+06,3.88E+06,5.04E+06,6.04E+06,1.78E+06,1.15E+06,1.39E+06,,,,
Nicaragua,558,Latin America and Caribbean,Central America,1.33E+08,1.95E+08,2.44E+08,1.26E+08,1.37E+08,9.15E+07,1.15E+08,6.17E+07,4.08E+07,,,,
Niger,562,Africa,Western Africa,4.56E+08,1.16E+09,2.47E+09,4.52E+08,1.10E+09,2.19E+09,4.06E+08,4.93E+08,9.83E+08,,,,
Nigeria,566,Africa,Western Africa,2.23E+09,5.13E+09,9.54E+09,2.21E+09,4.10E+09,5.13E+09,2.01E+09,1.86E+09,2.31E+09,,,,
Norway,578,Europe,Northern Europe,3.36E+06,4.28E+06,5.12E+06,3.36E+06,4.28E+06,5.12E+06,1.68E+06,1.19E+06,1.42E+06,,,,
Oman,512,Asia,Western Asia,2.80E+06,4.26E+06,5.80E+06,2.80E+06,4.26E+06,5.80E+06,1.28E+06,9.78E+05,1.33E+06,,,,
Pakistan,586,Asia,Southern Asia,1.79E+09,3.63E+09,5.63E+09,1.70E+09,2.65E+09,2.49E+09,1.67E+09,1.45E+09,1.35E+09,,,,
Palau,585,Oceania,Micronesia,2.14E+05,3.20E+05,4.14E+05,1.70E+05,1.14E+04,1.47E+04,1.54E+05,2.61E+03,3.38E+03,,,,
Panama,591,Latin America and Caribbean,Central America,8.82E+07,1.33E+08,1.73E+08,4.25E+07,6.04E+06,7.84E+06,3.79E+07,1.37E+06,1.78E+06,,,,
Papua New Guinea,598,Oceania,Melanesia,1.43E+08,2.51E+08,3.74E+08,1.41E+08,2.15E+08,2.55E+08,1.28E+08,9.74E+07,1.15E+08,,,,
Paraguay,600,Latin America and Caribbean,South America,6.34E+07,9.16E+07,1.14E+08,5.67E+07,3.09E+07,3.60E+06,5.60E+07,2.99E+07,1.80E+06,,,,
Peru,604,Latin America and Caribbean,South America,1.97E+08,3.05E+08,3.99E+08,1.62E+08,1.08E+07,1.41E+07,1.60E+08,5.40E+06,7.06E+06,,,,
Philippines,608,Asia,South-Eastern Asia,5.45E+09,8.67E+09,1.17E+10,4.88E+09,4.34E+09,2.76E+08,1.95E+09,8.61E+08,2.79E+07,,,,
Poland,616,Europe,Eastern Europe,2.72E+08,2.98E+08,2.88E+08,3.16E+07,3.46E+07,3.34E+07,1.08E+07,5.88E+06,5.68E+06,,,,
Portugal,620,Europe,Southern Europe,7.92E+06,8.60E+06,8.88E+06,7.92E+06,8.60E+06,8.88E+06,3.96E+06,2.17E+06,2.24E+06,,,,
Puerto Rico,630,Latin America and Caribbean,Caribbean,2.64E+06,3.20E+06,3.40E+06,2.64E+06,3.20E+06,3.40E+06,1.21E+06,7.32E+05,7.78E+05,,,,
Qatar,634,Asia,Western Asia,3.48E+06,5.60E+06,7.50E+06,3.48E+06,5.60E+06,7.50E+06,1.16E+06,9.33E+05,1.25E+06,,,,
Republic of Korea,410,Asia,Eastern Asia,2.72E+07,3.32E+07,3.50E+07,2.72E+07,3.32E+07,3.50E+07,1.36E+07,1.04E+07,1.09E+07,,,,
Republic of Moldova,498,Europe,Eastern Europe,2.51E+08,2.42E+08,2.12E+08,2.39E+08,1.79E+08,9.77E+07,2.37E+08,9.10E+07,4.93E+07,,,,
Romania,642,Europe,Eastern Europe,1.68E+08,2.00E+08,2.10E+08,5.67E+07,1.17E+07,1.23E+07,5.51E+07,2.96E+06,3.10E+06,,,,
Russian Federation,643,Europe,Eastern Europe,9.33E+08,1.07E+09,1.14E+09,3.83E+08,9.58E+07,1.03E+08,3.43E+08,2.20E+07,2.35E+07,,,,
Rwanda,646,Africa,Eastern Africa,2.42E+08,4.24E+08,6.13E+08,2.37E+08,3.80E+08,4.83E+08,2.15E+08,1.73E+08,2.19E+08,,,,
